,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Sentiment
1560,https://twitter.com/samberrie/status/1296861814584537088,https://twitter.com/samberrie,2020-08-21 17:28:45,lavenderliquor,0,0,1,The Killers,[],samberrie,Neutral
1561,https://twitter.com/SalSandster/status/1296863957437816834,https://twitter.com/SalSandster,2020-08-21 17:37:16,url,0,0,0,The Killers,[],SalSandster,Neutral
1562,https://twitter.com/rola_rodmor/status/1296831111939710977,https://twitter.com/rola_rodmor,2020-08-21 15:26:45,congratulations new album music always brilliant,0,0,0,The Killers,[],rola_rodmor,Positive
1563,https://twitter.com/Cpims/status/1296831191258210306,https://twitter.com/Cpims,2020-08-21 15:27:4,goddamn cowboy hat,0,0,0,The Killers,[],Cpims,Negative
1564,https://twitter.com/ValeriaACuevas/status/1296831558905556997,https://twitter.com/ValeriaACuevas,2020-08-21 15:28:32,nataliaperezhdz,0,0,0,The Killers,[],ValeriaACuevas,Neutral
1565,https://twitter.com/killers_victim/status/1296832073160724481,https://twitter.com/killers_victim,2020-08-21 15:30:34,good news thank,0,0,0,The Killers,[],killers_victim,Positive
1566,https://twitter.com/Kazziwaz/status/1296832231781142535,https://twitter.com/Kazziwaz,2020-08-21 15:31:12,fantastic album well worth wait cannot wait hear songs live,0,0,0,The Killers,[],Kazziwaz,Positive
1567,https://twitter.com/Pinky72332805/status/1296832258742124547,https://twitter.com/Pinky72332805,2020-08-21 15:31:19,arrived yet listend times deezer promptly got old vegas photos saw cosmopolitan,0,0,0,The Killers,[],Pinky72332805,Neutral
1568,https://twitter.com/Alessandra1739/status/1296832572882849793,https://twitter.com/Alessandra1739,2020-08-21 15:32:34,best band simply amazing album,0,0,0,The Killers,[],Alessandra1739,Positive
1569,https://twitter.com/MrsChrissyG83/status/1296834079506280449,https://twitter.com/MrsChrissyG83,2020-08-21 15:38:33,well worth wait love love love,0,0,0,The Killers,[],MrsChrissyG83,Positive
1570,https://twitter.com/HabyCloud/status/1296834214063681539,https://twitter.com/HabyCloud,2020-08-21 15:39:5,long wait finally listening great,0,0,0,The Killers,[],HabyCloud,Positive
1571,https://twitter.com/tuanicarvalho/status/1296834690712821760,https://twitter.com/tuanicarvalho,2020-08-21 15:40:58,eu amo vocs caralho que inferno,0,0,0,The Killers,[],tuanicarvalho,Neutral
1572,https://twitter.com/marcela47717292/status/1296834870107353088,https://twitter.com/marcela47717292,2020-08-21 15:41:41,qu maravilla,0,0,0,The Killers,[],marcela47717292,Neutral
1573,https://twitter.com/ElenaJanee/status/1296834913522651138,https://twitter.com/ElenaJanee,2020-08-21 15:41:52,cd arrived today,0,0,0,The Killers,[],ElenaJanee,Neutral
1574,https://twitter.com/traldL/status/1296835099636506627,https://twitter.com/traldL,2020-08-21 15:42:36,lindos eu te amoo,0,0,0,The Killers,[],traldL,Neutral
1575,https://twitter.com/BbJing23/status/1296835219035754496,https://twitter.com/BbJing23,2020-08-21 15:43:4,congratulations something look forward june watch perform album live mozgurl,0,0,0,The Killers,[],BbJing23,Positive
1576,https://twitter.com/kaneboarder15/status/1296837457124745216,https://twitter.com/kaneboarder15,2020-08-21 15:51:58,album year,0,0,0,The Killers,[],kaneboarder15,Neutral
1577,https://twitter.com/NhlanhlaMajozi/status/1296838438327648256,https://twitter.com/NhlanhlaMajozi,2020-08-21 15:55:52,good,0,0,0,The Killers,[],NhlanhlaMajozi,Positive
1578,https://twitter.com/EdieHilt/status/1296838680598978562,https://twitter.com/EdieHilt,2020-08-21 15:56:50,really cheered hear kd lang icing cake,0,0,0,The Killers,[],EdieHilt,Positive
1579,https://twitter.com/serchster/status/1296840048193740808,https://twitter.com/serchster,2020-08-21 16:2:16,listening right,0,0,0,The Killers,[],serchster,Neutral
1580,https://twitter.com/JingleJinki/status/1296840730162405380,https://twitter.com/JingleJinki,2020-08-21 16:4:58,yesd kilerss,0,0,0,The Killers,[],JingleJinki,Neutral
1581,https://twitter.com/Ashtontudios/status/1296844376191176710,https://twitter.com/Ashtontudios,2020-08-21 16:19:28,yas kings,0,0,0,The Killers,[],Ashtontudios,Neutral
1582,https://twitter.com/GonzoVeritas/status/1296844468872773634,https://twitter.com/GonzoVeritas,2020-08-21 16:19:50,great sound,0,0,0,The Killers,[],GonzoVeritas,Positive
1583,https://twitter.com/veronicajen_s/status/1296844596580737024,https://twitter.com/veronicajen_s,2020-08-21 16:20:20,omg,0,0,0,The Killers,[],veronicajen_s,Neutral
1584,https://twitter.com/aidanisagirl/status/1296845304302641159,https://twitter.com/aidanisagirl,2020-08-21 16:23:9,fantastic,0,0,0,The Killers,[],aidanisagirl,Positive
1585,https://twitter.com/drelladuh/status/1296845306949140482,https://twitter.com/drelladuh,2020-08-21 16:23:10,love death thank much proud guys,0,0,0,The Killers,[],drelladuh,Positive
1586,https://twitter.com/I_AM_MISTER_V/status/1296846908481253377,https://twitter.com/I_AM_MISTER_V,2020-08-21 16:29:31,yep still got,0,0,0,The Killers,[],I_AM_MISTER_V,Positive
1587,https://twitter.com/dark_cloud_7/status/1296850042746281985,https://twitter.com/dark_cloud_7,2020-08-21 16:41:59,ah cool thanks appreciate,0,0,0,The Killers,[],dark_cloud_7,Positive
1588,https://twitter.com/bunGIGIgum/status/1296850356408709121,https://twitter.com/bunGIGIgum,2020-08-21 16:43:13,ah,0,0,0,The Killers,[],bunGIGIgum,Neutral
1589,https://twitter.com/Billypye2012/status/1296851711605301248,https://twitter.com/Billypye2012,2020-08-21 16:48:37,arrived post,0,0,0,The Killers,[],Billypye2012,Neutral
1590,https://twitter.com/Avatar_Jack/status/1296852276083142663,https://twitter.com/Avatar_Jack,2020-08-21 16:50:51,,0,0,0,The Killers,[],Avatar_Jack,Neutral
1591,https://twitter.com/HumanNaturee_/status/1296853610878443520,https://twitter.com/HumanNaturee_,2020-08-21 16:56:9,se ultra mamaron gracias por tanto,0,0,0,The Killers,[],HumanNaturee_,Neutral
1592,https://twitter.com/NiceguyDaniel92/status/1296853971370475521,https://twitter.com/NiceguyDaniel92,2020-08-21 16:57:35,mtherofdragons,0,0,0,The Killers,[],NiceguyDaniel92,Neutral
1593,https://twitter.com/crystal_albers/status/1296854274199171073,https://twitter.com/crystal_albers,2020-08-21 16:58:48,amazing,0,0,0,The Killers,[],crystal_albers,Positive
